time(second),IR,RED
22.1,8706,11024
22.12,8706,10988
22.14,8770,11001
22.16,8717,11033
22.18,8734,11056
22.2,8722,11044
22.22,8724,11054
22.24,8681,11016
22.26,8754,10988
22.28,8761,11004
22.3,8744,11098
22.32,8742,10989
22.34,8752,11005
22.36,8712,11027
22.38,8714,11009
22.4,8761,10984
22.42,8764,10966
22.44,8732,11084
22.46,8729,10994
22.48,8761,11009
22.5,8761,11026
22.52,8764,11062
22.54,8719,11071
22.56,8765,11028
22.58,8719,11072
22.6,8728,11030
22.62,8771,11016
22.64,8725,11021
22.66,8688,10975
22.68,8719,11054
22.7,8714,10982
22.72,8763,10951
22.74,8725,11044
22.76,8703,11005
22.78,8763,11032
22.8,8764,11042
22.82,8689,11061
22.84,8713,11017
22.86,8754,11002
22.88,8758,11124
22.9,8717,11046
22.92,8701,10987
22.94,8770,11047
22.96,8733,11071
22.98,8691,11031
23,8751,10991
23.02,8720,11056
23.04,8677,11030
23.06,8729,11014
23.08,8764,11047
23.1,8750,11036
23.12,8749,11006
23.14,8745,11104
23.16,8704,11041
23.18,8768,11005
23.2,8739,11078
23.22,8715,11051
23.24,8729,11040
23.26,8709,11087
23.28,8724,11004
23.3,8736,11039
23.32,8737,11009
23.34,8677,11060
23.36,8711,11018
23.38,8694,11078
23.4,8696,11061
23.42,8687,11036
23.44,8702,10968
23.46,8745,11046
23.48,8708,11058
23.5,8686,11066
23.52,8706,10992
23.54,8710,11012
23.56,8733,11061
23.58,8744,11064
23.6,8685,11063
23.62,8693,10992
23.64,8722,10934
23.66,8731,11058
23.68,8677,11008
23.7,8653,10995
23.72,8729,11049
23.74,8696,11072
23.76,8661,11019
23.78,8732,11018
23.8,8731,11042
23.82,8655,11025
23.84,8689,118568
23.86,8501,10930
23.88,8521,10884
23.9,8506,10871
23.92,8487,10875
23.94,8537,10917
23.96,8499,10904
23.98,8484,10846
24,8530,10786
24.02,8458,10852
24.04,8448,10767
24.06,8461,10702
24.08,8449,10768
24.1,8370,10736
24.12,8352,10704
24.14,8409,10664
24.16,8390,10676
24.18,8388,10648
24.2,8311,10612
24.22,8379,10672
24.24,8295,10633
24.26,8349,10607
24.28,8361,10687
24.3,8252,10671
24.32,8310,10659
24.34,8375,10651
24.36,8361,10682
24.38,8318,10597
24.4,8348,10634
24.42,8303,10605
24.44,8362,10645
24.46,8338,10572
24.48,8324,10572
24.5,8295,10540
24.52,8261,10596
24.54,8351,10573
24.56,8300,10616
24.58,8311,10594
24.6,8369,10629
24.62,8360,10600
24.64,8343,10691
24.66,8337,10627
24.68,8347,10697
24.7,8276,10671
24.72,8354,10646
24.74,8387,10635
24.76,8360,10654
24.78,8332,10680
24.8,8327,10642
24.82,8382,10708
24.84,8361,10629
24.86,8374,10609
24.88,8414,10732
24.9,8363,10734
24.92,8341,10686
24.94,8433,10701
24.96,8377,10703
24.98,8350,10675
25,8405,10769
25.02,8354,10713
25.04,8338,10687
25.06,8417,10715
25.08,8351,10688
25.1,8409,10690
25.12,8364,10714
25.14,8343,10698
25.16,8372,10637
25.18,8396,10676
25.2,8383,10730
25.22,8391,10718
25.24,8370,10729
25.26,8379,10699
25.28,8345,10744
25.3,8361,10717
25.32,8406,10691
25.34,8451,10762
25.36,8395,10756
25.38,8367,10759
25.4,8358,10744
25.42,8369,10702
25.44,8398,10675
25.46,8378,10749
25.48,8361,10677
25.5,8314,10670
25.52,8410,10757
25.54,8417,10746
25.56,8364,10685
25.58,8394,10694
25.6,8325,10652
25.62,8408,10710
25.64,8370,10713
25.66,8355,10637
25.68,8418,10725
25.7,8349,10699
25.72,8350,10671
25.74,8388,10731
25.76,8350,10677
25.78,8341,10700
25.8,8356,10744
25.82,8342,10652
