X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.05,-0.06,0.61,8470,10600,107.1428571,,91.90549135,4,,,
-0.17,-0.09,0.52,8563,10849,96.77419355,,95.75254289,4,,,
-0.19,-0.19,0.6,8722,10911,115.3846154,,97.64128757,4,,,
-0.2,-0.19,0.9,8780,10935,107.1428571,,83.95735254,4,,,
-0.2,-0.24,1.05,8742,10994,125,,88.49123949,4,,,
-0.19,-0.2,1.2,8753,11011,96.77419355,,91.89667551,4,,,
-0.19,-0.24,1.34,8803,10980,83.33333333,,95.75236691,4,,,
-0.15,-0.15,1.11,8763,10993,88.23529412,,97.70427422,4,,,
0.05,-0.31,1.4,8754,10990,130.4347826,,99.94542275,4,,,
0.06,-0.21,1.24,8770,10929,103.4482759,,96.43429286,4,,,
0.13,-0.19,1.08,8803,11002,103.4482759,,91.08095267,4,,,
0.03,0.03,1.1,8750,10947,96.77419355,,93.36111913,4,,,
0.03,-0.21,1.09,8800,10993,115.3846154,,95.69189329,4,,,
0.15,-0.24,1.01,8829,11019,107.1428571,,97.70780974,4,,,
0.06,-0.17,0.69,8760,11093,125,,99.94539034,4,,,
-0.2,-0.14,0.55,8752,11051,96.77419355,,96.43408007,4,,,
-0.21,-0.16,0.6,8783,11021,83.33333333,,91.08095267,4,,,
-0.2,-0.19,0.68,8827,11006,88.23529412,,93.36111914,4,,,
-0.24,-0.28,0.81,8793,11097,130.4347826,,95.6918933,4,,,
-0.25,-0.31,0.9,8804,11071,103.4482759,,97.70780975,4,,,
-0.31,-0.3,1.08,8758,11009,103.4482759,,99.94539034,4,,,
-0.3,-0.46,1.25,8808,11046,96.77419355,,99.5760162,4,,,
-0.29,-0.4,1.12,8788,11050,115.3846154,,85.97049581,4,,,
-0.28,-0.36,1.3,8746,11024,107.1428571,,80.18923169,4,,,
0,-0.65,1.41,8806,11022,142.8571429,,95.25337632,4,,,
-0.01,-0.43,1.17,8809,10985,103.4482759,,92.65150271,4,,,
-0.14,-0.22,0.74,8790,11079,85.71428571,,87.75881939,4,,,
-0.13,-0.19,0.66,8770,11098,65.2173913,,95.36145837,4,,,
0.05,-0.37,1.04,8746,11033,111.1111111,,92.65611638,4,,,
0.17,-0.21,1.12,8750,10997,111.1111111,,96.90480291,4,,,
0.16,-0.17,0.86,8786,11116,142.8571429,,88.85879984,4,,,
-0.05,-0.1,0.65,8770,11020,115.3846154,,88.94426949,4,,,
