X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.75,0.35,0.57,10017,11439,69.76744186,,99.56721551,3,,,
0.74,0.39,0.55,10106,11501,66.66666667,,93.70222031,3,,,
0.71,0.39,0.57,10138,11518,75,,99.88576304,3,,,
0.75,0.37,0.6,10181,11637,78.94736842,,98.58207537,3,,,
0.74,0.39,0.56,10147,11511,58.82352941,,99.50841254,3,,,
0.73,0.37,0.55,10104,11540,81.08108108,,95.40105581,3,,,
0.71,0.37,0.6,10142,11520,78.94736842,,98.09500452,3,,,
0.77,0.34,0.59,10224,11632,53.57142857,,95.11303222,3,,,
0.75,0.36,0.57,10196,11533,76.92307692,,97.54428646,3,,,
0.76,0.36,0.56,10087,11543,62.5,,99.94759828,3,,,
0.74,0.41,0.55,10013,11440,78.94736842,,94.87601554,3,,,
0.75,0.37,0.6,10119,11506,65.2173913,,93.61015841,3,,,
0.76,0.37,0.57,10134,11540,78.94736842,,99.91963798,3,,,
0.75,0.4,0.56,10255,11624,68.18181818,,95.24338299,3,,,
0.73,0.37,0.61,10125,11557,69.76744186,,97.49666984,3,,,
0.7,0.37,0.62,10155,11395,76.92307692,,97.00159354,3,,,
0.71,0.35,0.62,10089,11494,62.5,,96.20494422,3,,,
0.74,0.35,0.61,10142,11535,81.08108108,,99.83532789,3,,,
0.74,0.39,0.6,10124,11556,85.71428571,,96.11454728,3,,,
0.77,0.39,0.64,10149,11503,62.5,,99.19701555,3,,,
0.79,0.39,0.59,10005,11551,76.92307692,,99.3785118,3,,,
0.75,0.37,0.61,10157,11693,81.08108108,,99.90833208,3,,,
0.73,0.4,0.61,10219,11536,78.94736842,,94.91559789,3,,,
0.75,0.39,0.59,10154,11568,76.92307692,,95.10081348,3,,,
0.77,0.4,0.6,10014,11447,69.76744186,,99.04761558,3,,,
0.76,0.39,0.59,10110,11573,81.08108108,,99.89831774,3,,,
0.71,0.4,0.57,10252,11622,62.5,,88.32803744,3,,,
0.75,0.39,0.6,10166,11540,85.71428571,,98.58430872,3,,,
0.73,0.39,0.65,10083,11397,78.94736842,,99.94297643,3,,,
0.71,0.43,0.65,10064,11493,75,,98.3543026,3,,,
0.75,0.41,0.62,10113,11522,60,,98.94010917,3,,,
0.73,0.4,0.57,10118,11682,85.71428571,,99.6322122,3,,,
0.76,0.37,0.62,10224,11533,81.08108108,,99.92675802,3,,,
0.7,0.39,0.59,10126,11535,76.92307692,,98.39606549,3,,,
0.73,0.39,0.57,10021,11446,61.2244898,,95.03805236,3,,,
0.73,0.39,0.55,10114,11529,96.77419355,,94.845,3,,,
0.77,0.37,0.56,10266,11664,69.76744186,,99.91018715,3,,,
0.77,0.36,0.59,10108,11553,75,,94.33673185,3,,,
0.76,0.39,0.6,10168,11397,69.76744186,,92.38548601,3,,,
0.73,0.4,0.61,10045,11491,83.33333333,,97.35307696,3,,,
0.73,0.37,0.62,10135,11674,75,,98.90207989,3,,,
0.74,0.39,0.57,10174,11551,65.2173913,,99.83970076,3,,,
0.74,0.39,0.56,10147,11489,88.23529412,,94.845,3,,,
0.73,0.4,0.59,10028,11457,83.33333333,,95.018294,3,,,
0.73,0.37,0.57,10118,11530,66.66666667,,99.24900255,3,,,
0.73,0.36,0.61,10140,11565,88.23529412,,96.17218023,3,,,
0.75,0.35,0.62,10099,11534,76.92307692,,99.29316732,3,,,
0.73,0.37,0.59,10011,11386,71.42857143,,97.19663241,3,,,
0.66,0.37,0.6,10104,11540,75,,99.93590561,3,,,
0.76,0.37,0.62,10152,11532,69.76744186,,95.52412077,3,,,
