~Time(seconds),R,IR
13.9,10104,11368
13.92,10170,11487
13.94,10154,11348
13.96,10115,11340
13.98,10078,11426
14,10119,11290
14.02,10095,11351
14.04,10086,11340
14.06,10214,11464
14.08,10130,11369
14.1,10082,11344
14.12,9961,11253
14.14,10080,11321
14.16,10199,11395
14.18,10114,11246
14.2,10058,11316
14.22,10105,11326
14.24,10106,11360
14.26,9966,11235
14.28,10094,11369
14.3,10099,11367
14.32,10114,11287
14.34,10025,11308
14.36,10085,11509
14.38,10182,11379
14.4,10108,11382
14.42,10074,11203
14.44,9994,11298
14.46,10064,11437
14.48,10151,11281
14.5,10098,11346
14.52,9944,11252
14.54,10113,11376
14.56,10117,11402
14.58,10246,11507
14.6,10110,11410
14.62,10125,11236
14.64,10026,11347
14.66,10099,11374
14.68,10158,11508
14.7,10183,11393
14.72,10106,11418
14.74,10124,11443
14.76,10247,11553
14.78,10172,11447
14.8,10125,11409
14.82,10056,11328
14.84,10124,11486
14.86,10151,11508
14.88,10158,11473
14.9,10018,11329
14.92,10131,11453
14.94,10171,11468
14.96,10259,11542
14.98,10128,11441
15,10126,11461
15.02,10125,11297
15.04,10096,11396
15.06,10129,11434
15.08,10153,11502
15.1,10194,11399
15.12,10102,11437
15.14,10148,11447
15.16,10119,11443
15.18,10133,11462
15.2,10303,11544
15.22,10195,11500
15.24,10078,11438
15.26,10157,11462
15.28,10163,11571
15.3,10194,11480
15.32,10144,11476
15.34,10140,11518
15.36,10263,11517
15.38,10156,11425
15.4,10027,11362
15.42,10107,11455
15.44,10229,11468
15.46,10173,11484
15.48,9995,11341
15.5,10149,11486
15.52,10155,11503
15.54,10056,11474
15.56,10138,11506
15.58,10167,11448
15.6,10037,11392
15.62,10146,11491
15.64,10048,11419
15.66,10160,11488
15.68,10151,11474
15.7,10123,11483
15.72,10099,11452
15.74,10110,11371
15.76,10059,11473
15.78,10151,11499
15.8,10159,11610
15.82,10298,11342
15.84,10160,11378
15.86,10126,11483
15.88,10132,11461
15.9,10269,11585
15.92,10123,11509
15.94,10174,11475
15.96,10133,11593
15.98,10213,11452
16,10133,11295
16.02,10042,11400
16.04,10130,11427
16.06,10136,11511
16.08,10021,11398
16.1,10127,11448
16.12,10142,11514
16.14,10214,11494
16.16,10147,11465
16.18,10051,11382
16.2,10128,11456
16.22,10141,11509
16.24,10244,11484
16.26,10127,11461
16.28,10015,11332
16.3,10099,11457
16.32,10143,11458
16.34,10278,11584
16.36,10115,11492
16.38,10164,11471
16.4,10128,11537
16.42,10281,11555
16.44,10180,11475
16.46,10047,11396
16.48,10099,11525
16.5,10110,11369
16.52,10073,11437
16.54,10135,11470
16.56,10203,11488
16.58,10136,11377
16.6,10122,11462
16.62,10141,11459
16.64,10261,11579
16.66,10173,11464
16.68,10147,11463
16.7,10265,11564
16.72,10180,11498
16.74,10136,11449
16.76,10009,11346
16.78,10133,11434
16.8,10149,11443
16.82,10223,11524
16.84,10153,11436
16.86,10114,11328
16.88,10035,11409
16.9,10284,11538
16.92,10145,11486
16.94,9999,11315
16.96,10083,11453
16.98,10141,11477
17,10278,11532
17.02,10147,11444
17.04,10041,11331
17.06,10123,11446
17.08,10154,11444
17.1,10080,11469
17.12,10148,11456
17.14,10277,11551
17.16,10177,11443
17.18,10145,11356
17.2,10156,11497
17.22,10223,11482
17.24,10161,11395
17.26,10043,11450
17.28,10162,11523
17.3,10250,11523
17.32,10095,11379
17.34,10124,11495
17.36,10181,11503
17.38,10230,11624
17.4,10197,11532
17.42,10166,11436
17.44,10064,11460
17.46,10155,11522
17.48,10164,11571
17.5,10169,11529
17.52,10174,11539
17.54,10338,11641
17.56,10046,11396
17.58,10136,11476
17.6,10166,11518
17.62,10038,11426
17.64,10169,11500
17.66,10142,11540
17.68,10265,11584
17.7,10190,11533
17.72,10134,11492
17.74,10118,11504
17.76,10252,11546
17.78,10151,11460
17.8,10171,11355
17.82,10234,11531
17.84,10150,11459
17.86,10155,11365
17.88,10019,11359
17.9,10117,11447
17.92,10129,11468
17.94,10010,11313
17.96,10098,11424
17.98,10146,11444
18,10143,11332
18.02,10068,11447
18.04,10157,11431
18.06,10202,11325
18.08,10144,11643
18.1,10256,11368
18.12,10089,11402
18.14,10163,11463
18.16,10171,11568
18.18,10228,11544
18.2,10196,11432
18.22,10065,11325
18.24,10094,11383
18.26,10084,11404
18.28,10125,11490
18.3,10174,11211
18.32,9969,11379
18.34,10084,11396
18.36,10083,11519
18.38,10141,11374
18.4,10109,11438
18.42,9974,11318
18.44,10077,11466
18.46,10166,11475
18.48,10069,11425
18.5,9970,11314
18.52,10076,11423
18.54,10109,11543
18.56,10124,11340
18.58,10090,11397
18.6,10031,11307
18.62,10058,11408
18.64,9925,11244
18.66,9981,11090
18.68,9980,11218
18.7,10099,11391
18.72,10022,11366
18.74,10107,11328
