X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,Mean HR,Mean RR,Mean SPO2
-0.16,0.17,1.03,96015,138228,16.85393258,,94.8414779,5,,,
-0.16,0.14,0.99,96048,138233,54.54545455,,94.84390318,5,,,
-0.15,0.12,0.98,96011,138209,78.94736842,,94.83299103,5,,,
-0.15,0.11,0.94,96034,138236,23.07692308,,94.84506705,5,,,
-0.13,0.13,0.99,96007,138262,54.54545455,,94.89244256,5,,,
-0.12,0.13,0.97,96166,138267,78.94736842,,94.95630903,5,,,
-0.13,0.12,0.98,96128,138218,23.07692308,,94.84482204,5,,,
-0.13,0.13,1.02,96139,138355,54.54545455,,94.84323872,5,,,
-0.11,0.15,1.02,96134,138319,76.92307692,,94.8414779,5,,,
-0.11,0.13,0.97,96081,138339,11.85770751,,94.84390318,5,,,
-0.13,0.12,0.97,96204,138375,17.04545455,,94.83299103,5,,,
-0.14,0.12,0.98,96192,138223,54.54545455,,94.84506705,5,,,
-0.14,0.11,0.99,96189,138357,78.94736842,,94.89244259,5,,,
-0.12,0.12,1.01,96209,138282,23.07692308,,94.95630909,5,,,
-0.11,0.12,1.02,96200,138227,54.54545455,,94.84324016,5,,,
-0.11,0.12,1.02,96215,138351,78.94736842,,94.84375169,5,,,
-0.11,0.12,0.99,96227,138394,23.07692308,,94.84550678,5,,,
-0.1,0.12,1.01,96277,138311,54.54545455,,94.84241691,5,,,
-0.1,0.13,1.03,96256,138392,76.92307692,,94.84470105,5,,,
-0.1,0.13,1.04,96390,138422,11.9047619,,94.84492961,5,,,
-0.11,0.11,1.04,96297,138428,16.94915254,,94.84439934,5,,,
-0.1,0.12,1.05,96325,138448,54.54545455,,94.86316141,5,,,
-0.13,0.1,1,96321,138534,78.94736842,,95.02275436,5,,,
-0.13,0.1,1,96358,138456,23.07692308,,97.39086008,5,,,
-0.11,0.09,1.01,96349,138375,54.54545455,,99.85656853,5,,,
-0.13,0.09,1.03,96285,138284,78.94736842,,96.92923455,5,,,
-0.13,0.1,1.05,96266,138240,23.07692308,,92.94650934,5,,,
-0.14,0.09,1.08,96328,138401,54.54545455,,99.62698017,5,,,
-0.14,0.1,1.03,96340,138377,76.92307692,,97.06841593,5,,,
-0.12,0.1,1.02,96314,138317,11.81102362,,94.84430226,5,,,
-0.14,0.11,1.01,96242,138334,17.14285714,,94.84413457,5,,,
-0.14,0.11,0.98,96379,138326,54.54545455,,94.84618359,5,,,
-0.14,0.12,1.01,96304,138208,78.94736842,,94.84252614,5,,,
-0.11,0.11,0.98,96295,138386,23.07692308,,94.8448727,5,,,
-0.11,0.12,1.01,96336,138329,54.54545455,,94.84166485,5,,,
-0.11,0.11,1.01,96248,138364,78.94736842,,94.85470517,5,,,
-0.11,0.12,1.03,96410,138398,23.07692308,,94.9264746,5,,,
-0.12,0.12,1.02,96325,138266,54.54545455,,94.84432958,5,,,
-0.13,0.11,0.99,96354,138251,76.92307692,,94.84413457,5,,,
-0.13,0.1,1,96299,138323,11.81102362,,94.84618359,5,,,
-0.11,0.11,0.99,96261,138321,17.14285714,,94.84252614,5,,,
-0.1,0.11,1.01,96398,138395,54.54545455,,94.8448727,5,,,
-0.1,0.11,1.02,96343,138331,78.94736842,,94.84166485,5,,,
-0.12,0.1,1,96360,138334,23.07692308,,94.85470518,5,,,
-0.12,0.11,1.01,96404,138387,54.54545455,,94.92647465,5,,,
-0.13,0.11,1.01,96345,138333,78.94736842,,94.8404986,5,,,
-0.11,0.11,1,96357,138404,23.07692308,,94.83557264,5,,,
-0.13,0.11,1,96396,138421,54.54545455,,94.84438611,5,,,
-0.13,0.11,1.01,96367,138374,76.92307692,,94.84127529,5,,,
-0.11,0.12,1.05,96289,138334,11.95219124,,94.84662843,5,,,
-0.12,0.12,0.97,96429,138324,16.85393258,,94.8395158,5,,,
-0.12,0.12,0.98,96350,138348,54.54545455,,94.84347579,5,,,
