Time Period,IR,RED
14.72,97422,139022
14.74,97481,139048
14.76,97407,138997
14.78,97400,138990
14.8,97484,139098
14.82,97466,139142
14.84,97468,138978
14.86,97390,139057
14.88,97429,139206
14.9,97422,139063
14.92,97393,139039
14.94,97459,139077
14.96,97523,139087
14.98,97482,139020
15,97401,138898
15.02,97585,139205
15.04,97579,139117
15.06,97529,139146
15.08,97511,139123
15.1,97443,139024
15.12,97523,139164
15.14,97654,139169
15.16,97597,139125
15.18,97620,139314
15.2,97606,139169
15.22,97650,139200
15.24,97606,139081
15.26,97484,139093
15.28,97489,139141
15.3,97575,139078
15.32,97581,139194
15.34,97742,139276
15.36,97651,139339
15.38,97590,139430
15.4,97717,139689
15.42,97740,139402
15.44,97643,139351
15.46,97604,139062
15.48,97511,139230
15.5,97545,139194
15.52,97687,139509
15.54,97773,139513
15.56,97307,138861
15.58,97290,138869
15.6,97339,138861
15.62,97273,138929
15.64,97263,138939
15.66,97373,139011
15.68,97360,139054
15.7,97369,138934
15.72,97390,139073
15.74,97417,139059
15.76,97392,139111
15.78,97352,139165
15.8,97447,139218
15.82,97464,139157
15.84,97394,139146
15.86,97403,139116
15.88,97481,139090
15.9,97517,139081
15.92,97405,139116
15.94,97332,139110
15.96,97358,138979
15.98,97339,138783
16,97307,138721
16.02,97271,138834
16.04,97398,138979
16.06,97395,139068
16.08,97311,138999
16.1,97405,139118
16.12,97496,139094
16.14,97405,138976
16.16,97438,138947
16.18,97514,139029
16.2,97451,138944
16.22,97438,139013
16.24,97436,139054
16.26,97502,138953
16.28,97348,138897
16.3,97335,138950
16.32,97447,138940
16.34,97387,139042
16.36,97373,139251
16.38,97550,139239
16.4,97476,139144
16.42,97484,139284
16.44,97457,139039
16.46,97412,139000
16.48,97475,138931
16.5,97415,138989
16.52,97404,138950
16.54,97420,139061
16.56,97426,139019
16.58,97394,138949
16.6,97406,138891
16.62,97375,138887
16.64,97338,138971
16.66,97494,138977
16.68,97459,138928
16.7,97396,138880
