X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.08,-0.19,1.05,9879,11956,55.55555556,,99.65681988,2,,,
0.05,-0.19,1.08,9957,11976,78.94736842,,98.28890207,2,,,
0.04,-0.19,1.06,9951,12102,157.8947368,,87.41800797,2,,,
0.09,-0.19,1.05,9964,11875,78.94736842,,97.48582215,2,,,
0.08,-0.19,1.02,9858,11873,47.61904762,,98.90212411,2,,,
0.05,-0.19,1.06,9944,11953,49.18032787,,99.22763603,2,,,
0.1,-0.17,1.08,9917,12005,90.90909091,,99.35420158,2,,,
0.09,-0.17,1.1,10000,12025,93.75,,94.53880282,2,,,
0.06,-0.19,1.06,9818,11868,157.8947368,,97.61244243,2,,,
0.08,-0.19,1.08,9935,11933,83.33333333,,99.72899906,2,,,
0.05,-0.16,1.05,9937,11948,49.18032787,,93.49699268,2,,,
0.06,-0.19,0.98,10081,12069,69.76744186,,98.15450486,2,,,
0.05,-0.19,1.05,9944,11970,62.5,,80.20584148,2,,,
0.03,-0.17,1.04,9930,11973,81.08108108,,96.25487858,2,,,
0.09,-0.19,1.04,9966,11997,100,,99.08364198,2,,,
0.08,-0.2,1.05,10010,12097,85.71428571,,94.3814217,2,,,
0.06,-0.17,0.96,10024,12006,130.4347826,,95.74000158,2,,,
0.09,-0.21,1.09,9957,12018,76.92307692,,99.01858908,2,,,
0.04,-0.19,1.02,9843,11926,103.4482759,,93.04527231,2,,,
0.06,-0.19,0.99,9964,12012,142.8571429,,97.315902,2,,,
0.05,-0.19,1.02,9968,11989,73.17073171,,94.05268417,2,,,
0.09,-0.19,1.08,10040,12068,63.82978723,,97.75245988,2,,,
0.11,-0.2,1,9935,12011,41.66666667,,97.47428434,2,,,
0.09,-0.19,1.06,9959,11841,90.90909091,,98.79621055,2,,,
0.08,-0.19,1.08,9897,11949,103.4482759,,99.64467613,2,,,
0.08,-0.22,1.05,9977,11971,83.33333333,,97.6074075,2,,,
0.05,-0.21,0.99,9952,12013,130.4347826,,95.95841654,2,,,
0.08,-0.19,0.98,10069,12029,78.94736842,,99.93570585,2,,,
