X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
-0.01,-0.16,1.06,9293,10135,65.2173913,,97.98749059,1,,,
0,-0.16,1.05,9171,10127,61.2244898,,92.14491516,1,,,
0.01,-0.14,1.08,9281,10280,53.57142857,,98.40851863,1,,,
0.01,-0.16,1.05,9412,10142,85.71428571,,99.27314755,1,,,
0.03,-0.14,1.02,9289,10153,125,,90.08223868,1,,,
-0.03,-0.14,1.05,9114,10051,65.2173913,,96.3508961,1,,,
0,-0.14,1.06,9242,10114,103.4482759,,97.65890723,1,,,
-0.01,-0.15,1.1,9284,10123,83.33333333,,95.46041769,1,,,
0,-0.16,1.08,9319,10219,32.60869565,,88.43154383,1,,,
0.01,-0.14,1.05,9374,9958,55.55555556,,94.97181442,1,,,
0.01,-0.16,1.06,9168,10081,54.54545455,,99.6445254,1,,,
0,-0.14,1.08,9273,10124,61.2244898,,99.94471237,1,,,
-0.01,-0.14,1.09,9277,10083,65.2173913,,92.36590716,1,,,
0.03,-0.13,1.08,9274,10130,111.1111111,,88.89056168,1,,,
0.03,-0.16,1.11,9163,10023,88.23529412,,99.51329149,1,,,
0.03,-0.17,1.11,9246,10107,120,,97.94717546,1,,,
0,-0.15,1.09,9284,10129,83.33333333,,99.53711627,1,,,
0.03,-0.15,1.08,9453,10155,69.76744186,,99.93196578,1,,,
0.03,-0.15,1.08,9190,10036,88.23529412,,97.03723116,1,,,
0.01,-0.15,1.04,9224,10134,69.76744186,,96.30999609,1,,,
0,-0.16,1.06,9287,10143,96.77419355,,88.36799971,1,,,
-0.01,-0.14,1.06,9256,10246,81.08108108,,97.0708079,1,,,
-0.01,-0.16,1.08,9379,10150,107.1428571,,97.36231811,1,,,
0,-0.15,1.09,9276,10133,43.47826087,,92.4642446,1,,,
0.01,-0.14,1.09,9170,10079,37.97468354,,91.2857361,1,,,
0,-0.17,1.1,9276,10127,63.82978723,,98.85669477,1,,,
-0.01,-0.16,1.08,9284,10125,78.94736842,,99.79712686,1,,,
0,-0.16,1.08,9439,10239,57.69230769,,83.92361398,1,,,
0,-0.16,1.06,9314,10155,81.08108108,,95.20862215,1,,,
-0.01,-0.17,1.02,9287,10111,78.94736842,,96.9384887,1,,,
0,-0.15,1.01,9275,10136,33.33333333,,99.95554385,1,,,
-0.01,-0.16,1.08,9257,10289,96.77419355,,88.25407975,1,,,
0,-0.16,1.05,9356,10173,46.15384615,,95.33989126,1,,,
-0.03,-0.14,1.05,9280,10140,48.38709677,,97.80651061,1,,,
0.04,-0.15,1.05,9144,10045,76.92307692,,99.72395091,1,,,
0.03,-0.15,1.04,9231,10104,61.2244898,,99.82180268,1,,,
0.01,-0.15,1.08,9242,10114,46.875,,97.8305719,1,,,
