time(second),IR,RED
18.46,8418,10506
18.48,8492,10569
18.5,8424,10502
18.52,8436,10589
18.54,8430,10494
18.56,8480,10525
18.58,8462,10557
18.6,8422,10533
18.62,8486,10524
18.64,8451,10536
18.66,8390,10516
18.68,8460,10498
18.7,8460,10533
18.72,8423,10501
18.74,8461,10517
18.76,8415,10499
18.78,8476,10502
18.8,8450,10505
18.82,8444,10496
18.84,8482,10491
18.86,8389,10487
18.88,8479,10507
18.9,8415,10549
18.92,8421,10522
18.94,8450,10489
18.96,8422,10509
18.98,8500,10546
19,8438,10498
19.02,8468,10479
19.04,8429,10499
19.06,8462,10549
19.08,8432,10527
19.1,8411,10472
19.12,8420,10582
19.14,8421,10477
19.16,8464,10541
19.18,8472,10553
19.2,8379,10527
19.22,8453,10525
19.24,8443,10554
19.26,8435,10618
19.28,8454,10552
19.3,8413,10526
19.32,8465,10525
19.34,8437,10559
19.36,8442,10527
19.38,8475,10509
19.4,8457,10560
19.42,8461,10587
19.44,8428,10546
19.46,8455,10552
19.48,8445,10561
19.5,8427,10528
19.52,8430,10545
19.54,8476,10513
19.56,8425,10560
19.58,8452,10584
19.6,8427,10495
19.62,8446,10596
19.64,8437,10499
19.66,8454,10540
19.68,8441,10531
19.7,8480,10530
19.72,8434,10581
19.74,8471,10560
19.76,8392,10526
19.78,8463,10509
19.8,8455,10551
19.82,8436,10594
19.84,8446,10497
19.86,8479,10552
19.88,8467,10513
19.9,8475,10513
19.92,8390,10483
19.94,8416,10513
19.96,8438,10547
19.98,8425,10496
20,8465,10535
20.02,8420,10523
20.04,8421,10524
20.06,8473,10469
20.08,8424,10575
20.1,8414,10537
20.12,8451,10503
20.14,8483,10614
20.16,8427,10525
20.18,8494,10545
20.2,8470,10524
20.22,8410,10502
20.24,8462,10543
20.26,8414,10534
20.28,8420,10479
20.3,8446,10540
20.32,8454,10547
20.34,8430,10547
20.36,8425,10566
20.38,8403,10491
20.4,8446,10549
20.42,8376,10506
20.44,8444,10592
20.46,8410,10505
20.48,8441,10503
20.5,8435,10505
20.52,8342,10522
20.54,8396,10516
20.56,8447,10492
20.58,8414,10535
20.6,8393,10498
20.62,8442,10559
20.64,8376,10572
20.66,8415,10528
20.68,8443,10534
20.7,8326,10547
20.72,8408,10608
20.74,8389,10554
20.76,8360,10587
20.78,8442,10559
20.8,8359,10537
20.82,8392,10536
20.84,8381,10464
20.86,8435,10554
20.88,8384,10580
20.9,8379,10534
20.92,8441,10578
20.94,8392,10542
20.96,8446,10531
20.98,8401,10586
21,8398,10535
21.02,8399,10593
21.04,8375,10503
21.06,8434,10538
21.08,8406,10600
21.1,8419,10555
21.12,8340,10515
21.14,8426,10528
21.16,8412,10574
21.18,8375,10529
21.2,8398,10491
21.22,8446,10579
21.24,8461,10553
21.26,8386,10579
21.28,8392,10489
21.3,8396,10489
21.32,8450,10488
21.34,8391,10521
21.36,8450,10534
21.38,8404,10535
21.4,8418,10488
21.42,8412,10562
21.44,8401,10513
21.46,8416,10509
