X,Y,Z,R,IR,HR,RR,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.1,-0.24,1.05,9994,11112,93.75,,81.34467759,4,,,
0.11,-0.22,1.05,10026,11051,130.4347826,,94.845,4,,,
0.1,-0.24,1.05,9978,11070,63.82978723,,72.05064872,4,,,
0.1,-0.24,1.09,10021,11136,88.23529412,,91.00867559,4,,,
0.14,-0.2,1.09,10065,11168,58.82352941,,95.93352598,4,,,
0.1,-0.21,1.04,10005,11157,75,,98.77610002,4,,,
0.09,-0.24,1,10063,11170,103.4482759,,94.28356824,4,,,
0.09,-0.2,1.02,10221,11282,62.5,,94.44429816,4,,,
0.04,-0.2,1.1,10042,11209,76.92307692,,85.97843967,4,,,
0.05,-0.19,1.05,10063,11009,100,,93.41130225,4,,,
0.08,-0.2,1.05,10071,11174,68.18181818,,97.19687504,4,,,
0.03,-0.2,1.04,10213,11288,54.54545455,,94.845,4,,,
0,-0.2,1.08,10078,11171,90.90909091,,98.14243524,4,,,
-0.03,-0.2,1.04,10040,11100,78.94736842,,94.24301433,4,,,
0.01,-0.2,1.06,9934,11018,75,,98.9816099,4,,,
0.04,-0.2,1.08,10085,11034,103.4482759,,94.99120257,4,,,
0.05,-0.19,1.11,9863,10966,63.82978723,,98.55557963,4,,,
0.04,-0.19,1.05,9968,11069,90.90909091,,89.33493903,4,,,
0.03,-0.19,1.06,10025,11094,48.38709677,,98.1475555,4,,,
0.04,-0.19,0.98,10117,11183,81.08108108,,99.19578785,4,,,
0.01,-0.19,1,10098,10959,81.08108108,,99.72713845,4,,,
0.01,-0.2,1.02,10002,11086,90.90909091,,98.28898275,4,,,
0.03,-0.2,1.01,10018,11093,81.08108108,,99.9564514,4,,,
0.01,-0.2,1.05,10132,11220,81.08108108,,98.45582735,4,,,
-0.01,-0.21,1.01,10102,11126,103.4482759,,95.15050799,4,,,
-0.01,-0.21,1.05,10013,11198,62.5,,83.95455167,4,,,
0,-0.2,1.12,10011,11061,125,,93.64399778,4,,,
0.04,-0.19,1.11,9841,10958,68.18181818,,99.27487664,4,,,
0.01,-0.19,1.1,9966,11058,85.71428571,,94.5477504,4,,,
0.01,-0.17,1.01,10144,11141,69.76744186,,98.5640739,4,,,
-0.01,-0.2,1.02,9953,11026,54.54545455,,99.92762013,4,,,
0,-0.21,1.04,10124,11133,68.18181818,,99.64730128,4,,,
-0.03,-0.22,1.02,9946,11046,90.90909091,,99.53308591,4,,,
-0.01,-0.2,1.06,9992,10874,71.42857143,,85.09579087,4,,,
-0.03,-0.2,0.99,9920,11003,111.1111111,,99.27972285,4,,,
-0.03,-0.22,1.04,9985,10977,69.76744186,,97.50595555,4,,,
-0.04,-0.22,0.98,10016,11161,83.33333333,,99.64890514,4,,,
-0.03,-0.2,1,10072,11121,83.33333333,,99.64324526,4,,,
-0.04,-0.2,1.02,10005,11009,76.92307692,,86.75264587,4,,,
0.03,-0.2,1.06,9976,11066,125,,99.25040435,4,,,
-0.01,-0.22,1.05,10005,11059,55.55555556,,94.956974,4,,,
-0.01,-0.24,1.06,10128,11148,50.84745763,,94.845,4,,,
0,-0.21,1.06,10044,11083,100,,97.99291251,4,,,
0,-0.2,1.05,9906,11030,83.33333333,,91.08533255,4,,,
-0.01,-0.2,1.08,9999,11060,81.08108108,,97.34744116,4,,,
0,-0.2,1.11,10119,11179,75,,96.05788848,4,,,
-0.03,-0.22,1.11,10018,11076,115.3846154,,99.95675428,4,,,
0.01,-0.2,1.19,9843,10939,73.17073171,,96.00899056,4,,,
0.04,-0.21,1.08,9970,11022,69.76744186,,99.62900462,4,,,
0.01,-0.17,1.12,9986,11007,85.71428571,,85.8488523,4,,,
0.01,-0.2,1.08,10098,11108,40.54054054,,90.62377398,4,,,
0.04,-0.21,1.14,9985,11018,57.69230769,,97.01882748,4,,,
0.04,-0.2,1.06,9917,10904,90.90909091,,86.11095241,4,,,
0.03,-0.21,1.02,9875,10986,130.4347826,,99.63460245,4,,,
0.01,-0.2,1,9979,11018,69.76744186,,97.93011891,4,,,
0.04,-0.2,1.06,10141,11114,85.71428571,,96.74930072,4,,,
0.04,-0.2,1.02,9971,11114,93.75,,96.45537428,4,,,
