time(second),IR,RED
20.42,8220,10639
20.44,8177,10680
20.46,8158,10690
20.48,8166,10637
20.5,8167,10624
20.52,8231,10645
20.54,8178,10576
20.56,8230,10652
20.58,8149,10670
20.6,8154,10619
20.62,8162,10676
20.64,8165,10645
20.66,8202,10640
20.68,8103,10666
20.7,8170,10644
20.72,8186,10679
20.74,8135,10624
20.76,8206,10733
20.78,8182,10701
20.8,8134,10625
20.82,8197,10691
20.84,8177,10694
20.86,8167,10603
20.88,8224,10659
20.9,8184,10688
20.92,8213,10607
20.94,8176,10698
20.96,8178,10626
20.98,8204,10641
21,8172,10674
21.02,8226,10639
21.04,8197,10645
21.06,8149,10666
21.08,8185,10603
21.1,8227,10708
21.12,8174,10639
21.14,8222,10668
21.16,8148,10693
21.18,8169,10644
21.2,8231,10610
21.22,8159,10707
21.24,8177,10682
21.26,8144,10625
21.28,8214,10681
21.3,8183,10622
21.32,8170,10574
21.34,8175,10705
21.36,8222,10635
21.38,8166,10683
21.4,8185,10639
21.42,8201,10592
21.44,8207,10676
21.46,8206,10603
21.48,8224,10609
21.5,8186,10628
21.52,8189,10695
21.54,8214,10658
21.56,8161,10650
21.58,8183,10621
21.6,8209,10627
21.62,8187,10676
21.64,8158,10599
21.66,8197,10631
21.68,8146,10626
21.7,8159,10650
21.72,8180,10585
21.74,8214,10607
21.76,8187,10694
21.78,8175,10612
21.8,8220,10621
21.82,8235,10675
21.84,8202,108180
21.86,8230,10661
21.88,8220,10667
21.9,8202,10677
21.92,8213,10750
21.94,8243,10745
21.96,8205,10688
21.98,8208,10694
22,8255,10710
22.02,8211,10751
22.04,8215,10719
22.06,8290,10705
22.08,8197,10737
22.1,8218,10660
22.12,8237,10727
22.14,8259,10669
22.16,8207,10722
22.18,8198,10689
22.2,8241,10648
22.22,8240,10753
22.24,8205,10656
22.26,8268,10713
22.28,8215,10739
22.3,8196,10694
22.32,8266,10692
22.34,8247,10727
22.36,8217,10743
22.38,8229,10650
22.4,8224,10710
22.42,8203,10697
22.44,8252,10723
22.46,8232,10752
22.48,8170,10699
22.5,8245,10691
22.52,8222,10706
22.54,8203,10704
22.56,8203,10675
22.58,8185,10659
22.6,8259,10682
22.62,8200,10723
22.64,8201,10701
22.66,8219,10646
22.68,8254,10723
22.7,8214,10660
22.72,8257,10708
22.74,8224,10726
22.76,8179,10671
22.78,8257,10709
22.8,8233,10722
22.82,8242,10653
22.84,8283,10769
22.86,8238,10697
22.88,8247,10708
22.9,8198,10687
22.92,8255,10691
22.94,8219,10702
22.96,8205,10714
22.98,8221,10629
23,8256,10698
23.02,8195,10676
23.04,8210,10636
23.06,8240,10620
23.08,8207,10703
23.1,8218,10714
23.12,8222,10619
23.14,8266,10695
23.16,8210,10650
23.18,8237,10774
23.2,8213,10715
23.22,8220,10737
23.24,8175,10696
23.26,8254,10732
23.28,8228,10744
23.3,8189,10703
23.32,8230,10652
23.34,8193,10705
23.36,8179,10655
23.38,8247,10703
23.4,8175,10662
23.42,8247,10666
23.44,8201,10685
23.46,8212,10694
23.48,8248,10678
23.5,8233,10647
23.52,8251,10720
23.54,8206,10686
23.56,8282,10733
23.58,8229,10660
23.6,8266,10733
23.62,8203,10722
23.64,8258,10731
23.66,8202,10708
23.68,8263,10765
23.7,8217,10692
23.72,8274,10676
23.74,8226,10803
23.76,8255,10701
23.78,8220,10685
23.8,8240,10704
23.82,8214,10746
23.84,8180,10673
23.86,8230,10661
23.88,8220,10667
23.9,8202,10677
23.92,8213,10750
23.94,8243,10745
23.96,8205,10688
23.98,8208,10694
24,8255,10710
24.02,8211,10751
24.04,8215,10719
24.06,8290,10705
24.08,8197,10737
24.1,8218,10660
24.12,8237,10727
24.14,8259,10669
24.16,8207,10722
24.18,8198,10689
24.2,8241,10648
24.22,8240,10753
24.24,8205,10656
24.26,8268,10713
24.28,8215,10739
24.3,8196,10694
24.32,8266,10692
24.34,8247,10727
24.36,8217,10743
24.38,8229,10650
24.4,8224,10710
24.42,8203,10697
24.44,8252,10723
24.46,8232,10752
24.48,8170,10699
24.5,8245,10691
24.52,8222,10706
24.54,8203,10704
24.56,8203,10675
24.58,8185,10659
24.6,8259,10682
24.62,8200,10723
24.64,8201,10701
24.66,8219,10646
24.68,8254,10723
24.7,8214,10660
24.72,8257,10708
24.74,8224,10726
24.76,8179,10671
24.78,8257,10709
24.8,8233,10722
24.82,8242,10653
24.84,8283,10769
24.86,8238,10697
24.88,8247,10708
24.9,8198,10687
24.92,8255,10691
24.94,8219,10702
24.96,8205,10714
24.98,8221,10629
25,8256,10698
25.02,8195,10676
25.04,8210,10636
25.06,8240,10620
25.08,8207,10703
25.1,8218,10714
25.12,8222,10619
25.14,8266,10695
25.16,8210,10650
25.18,8237,10774
25.2,8213,10715
25.22,8220,10737
25.24,8175,10696
25.26,8254,10732
25.28,8228,10744
25.3,8189,10703
25.32,8230,10652
25.34,8193,10705
25.36,8179,10655
25.38,8247,10703
25.4,8175,10662
25.42,8247,10666
25.44,8201,10685
25.46,8212,10694
25.48,8248,10678
25.5,8233,10647
25.52,8251,10720
25.54,8206,10686
25.56,8282,10733
25.58,8229,10660
25.6,8266,10733
25.62,8203,10722
25.64,8258,10731
25.66,8202,10708
25.68,8263,10765
25.7,8217,10692
25.72,8274,10676
25.74,8226,10803
25.76,8255,10701
25.78,8220,10685
25.8,8240,10704
25.82,8214,10746
25.84,8215,10635
25.86,8250,10742
25.88,8189,10705
25.9,8178,10676
25.92,8214,10701
25.94,8246,10727
25.96,8203,10697
25.98,8260,10696
26,8220,10674
26.02,8260,10713
26.04,8241,10717
26.06,8272,10720
26.08,8189,10659
26.1,8198,10646
26.12,8267,10711
26.14,8207,10652
26.16,8218,10655
26.18,8211,10720
26.2,8231,10630
26.22,8251,10682
26.24,8213,10671
26.26,8230,10633
26.28,8252,10709
26.3,8221,10673
26.32,8202,10652
26.34,8258,10675
26.36,8200,10729
26.38,8225,10728
26.4,8192,10732
26.42,8215,10663
26.44,8256,10726
26.46,8181,10625
26.48,8242,10681
26.5,8221,10657
26.52,8247,10641
26.54,8221,10659
26.56,8221,10643
26.58,8250,10692
26.6,8215,10621
26.62,8251,10654
26.64,8237,10686
26.66,8203,10650
26.68,8240,10686
26.7,8209,10744
26.72,8206,10641
26.74,8223,10686
26.76,8185,10668
26.78,8251,10723
26.8,8206,10681
26.82,8185,10660
26.84,8215,10716
26.86,8217,10721
26.88,8278,10690
26.9,8264,10671
26.92,8219,10692
26.94,8217,10667
26.96,8205,10675
26.98,8203,10630
27,8240,10593
27.02,8222,10724
27.04,8215,10678
27.06,8194,10623
27.08,8257,10630
27.1,8212,10732
27.12,8217,10629
27.14,8260,10711
27.16,8181,10700
27.18,8191,10654
27.2,8266,10649
27.22,8253,10648
27.24,8216,10757
27.26,8204,10672
27.28,8209,10668
27.3,8233,10715
27.32,8218,10696
27.34,8223,10620
27.36,8251,10723
27.38,8201,10670
27.4,8182,10636
27.42,8253,10648
27.44,8194,10697
27.46,8246,10676
27.48,8202,10666
27.5,8246,10608
27.52,8228,10712
27.54,8204,10642
27.56,8202,10647
27.58,8253,10648
27.6,8218,10640
27.62,8199,10664
27.64,8232,10589
27.66,8236,10661
27.68,8220,10703
27.7,8148,10592
27.72,8252,10684
27.74,8216,10638
27.76,8199,10636
27.78,8217,10651
27.8,8187,10672
27.82,8185,10637
27.84,8180,10673
27.86,8230,10661
27.88,8220,10667
27.9,8202,10677
27.92,8213,10750
27.94,8243,10745
27.96,8205,10688
27.98,8208,10694
28,8255,10710
