X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
0.52,0,0.85,8219,10694,111.1111111,,97.72186632,2,,,
0.56,-0.03,0.77,8149,10653,150,,97.17196824,2,,,
0.55,0,0.81,8217,10701,125,,97.42833003,2,,,
0.56,0,0.82,8195,10700,130.4347826,,96.93787863,2,,,
0.56,0.01,0.89,8216,10690,157.8947368,,96.64654699,2,,,
0.57,-0.01,0.82,8191,10696,166.6666667,,98.4065658,2,,,
0.55,-0.01,0.82,8221,10672,230.7692308,,96.22371132,2,,,
0.54,0,0.85,8203,10675,136.3636364,,94.8460214,2,,,
0.55,-0.01,0.81,8171,10654,142.8571429,,94.9055177,2,,,
0.56,-0.03,0.85,8242,10674,375,,95.52984601,2,,,
0.55,0.01,0.86,8187,10712,157.8947368,,94.98328118,2,,,
0.55,-0.01,0.82,8154,10646,166.6666667,,96.94647518,2,,,
0.56,-0.01,0.86,8180,10638,187.5,,98.12176486,2,,,
0.56,0,0.89,8234,10709,200,,96.22341095,2,,,
0.55,0,0.84,8195,10704,200,,94.8460214,2,,,
0.52,0.01,0.82,8133,10683,187.5,,94.9055177,2,,,
0.55,0.01,0.85,8207,10665,176.4705882,,95.529846,2,,,
0.55,0,0.88,8229,10708,166.6666667,,94.98328118,2,,,
0.55,0,0.81,8151,10673,166.6666667,,96.94647517,2,,,
0.52,-0.03,0.95,8204,10655,176.4705882,,98.12176482,2,,,
0.54,0.01,0.86,8194,10608,176.4705882,,96.22341095,2,,,
0.51,0,0.79,8234,10694,187.5,,94.84757312,2,,,
0.55,-0.01,0.86,8213,10662,176.4705882,,94.97048336,2,,,
0.55,-0.01,0.82,8218,10669,166.6666667,,95.45495343,2,,,
0.54,-0.04,0.81,8172,10680,157.8947368,,96.35436457,2,,,
0.52,0.04,0.82,8156,10659,166.6666667,,96.58381844,2,,,
0.55,0.01,0.8,8220,10676,333.3333333,,99.59327355,2,,,
0.54,-0.01,0.88,8221,10673,157.8947368,,85.97703526,2,,,
0.52,-0.03,0.88,8220,10691,150,,99.90646255,2,,,
0.51,0,0.91,8123,10690,111.1111111,,99.10414388,2,,,
0.56,0.01,0.89,8156,10676,150,,85.12798631,2,,,
0.54,-0.01,0.81,8208,10737,111.1111111,,99.71456601,2,,,
