time(second),IR,RED
21.6,8515,10580
21.62,8527,10572
21.64,8536,10607
21.66,8488,10656
21.68,8510,10561
21.7,8543,10664
21.72,8487,10615
21.74,8542,10573
21.76,8494,10582
21.78,8553,10615
21.8,8469,10629
21.82,8474,108416
21.84,8409,10520
21.86,8446,10561
21.88,8438,10576
21.9,8410,10573
21.92,8347,10502
21.94,8468,10524
21.96,8384,10535
21.98,8453,10504
22,8456,10587
22.02,8412,10532
22.04,8459,10552
22.06,8396,10537
22.08,8436,10544
22.1,8442,10555
22.12,8398,10572
22.14,8399,10560
22.16,8430,10486
22.18,8443,10539
22.2,8408,10549
22.22,8376,10527
22.24,8415,10505
22.26,8439,10506
22.28,8403,10576
22.3,8362,10523
22.32,8438,10495
22.34,8414,10591
22.36,8390,10522
22.38,8416,10542
22.4,8468,10556
22.42,8382,10570
22.44,8414,10561
22.46,8380,10521
22.48,8416,10502
22.5,8415,10543
22.52,8404,10545
22.54,8411,10506
22.56,8415,10554
22.58,8425,10514
22.6,8452,10526
22.62,8454,10539
22.64,8353,10545
22.66,8411,10519
22.68,8446,10495
22.7,8403,10512
22.72,8464,10538
22.74,8437,10539
22.76,8408,10594
22.78,8395,10542
22.8,8431,10499
22.82,8420,10560
22.84,8401,10522
22.86,8450,10513
22.88,8416,10552
22.9,8407,10562
22.92,8400,10468
22.94,8461,10531
22.96,8404,10555
22.98,8355,10507
23,8440,10515
23.02,8418,10532
23.04,8396,10549
23.06,8443,10550
23.08,8388,10559
23.1,8401,10520
23.12,8451,10564
23.14,8385,10545
23.16,8402,10577
23.18,8403,10522
23.2,8409,10467
23.22,8398,10574
23.24,8395,10503
23.26,8452,10575
23.28,8412,10523
23.3,8452,10537
23.32,8458,10555
23.34,8377,10559
23.36,8396,10488
23.38,8451,10476
23.4,8419,10587
23.42,8395,10514
23.44,8444,10531
23.46,8369,10506
23.48,8432,10523
23.5,8393,10529
23.52,8372,10486
23.54,8476,10604
23.56,8391,10509
23.58,8431,10547
23.6,8367,10524
23.62,8419,10496
23.64,8450,10510
23.66,8408,10506
23.68,8389,10502
23.7,8452,10554
23.72,8357,10521
23.74,8406,10505
23.76,8446,10556
23.78,8372,10539
23.8,8449,10557
23.82,8416,10528
23.84,8409,10520
23.86,8446,10561
23.88,8438,10576
23.9,8410,10573
23.92,8347,10502
23.94,8468,10524
23.96,8384,10535
23.98,8453,10504
24,8456,10587
24.02,8412,10532
24.04,8459,10552
24.06,8396,10537
24.08,8436,10544
24.1,8442,10555
24.12,8398,10572
24.14,8399,10560
24.16,8430,10486
24.18,8443,10539
24.2,8408,10549
24.22,8376,10527
24.24,8415,10505
24.26,8439,10506
24.28,8403,10576
24.3,8362,10523
24.32,8438,10495
24.34,8414,10591
24.36,8390,10522
24.38,8416,10542
24.4,8468,10556
24.42,8382,10570
24.44,8414,10561
24.46,8380,10521
24.48,8416,10502
24.5,8415,10543
24.52,8404,10545
24.54,8411,10506
24.56,8415,10554
24.58,8425,10514
24.6,8452,10526
24.62,8454,10539
24.64,8353,10545
24.66,8411,10519
24.68,8446,10495
24.7,8403,10512
24.72,8464,10538
24.74,8437,10539
24.76,8408,10594
24.78,8395,10542
24.8,8431,10499
24.82,8420,10560
24.84,8401,10522
24.86,8450,10513
24.88,8416,10552
24.9,8407,10562
24.92,8400,10468
24.94,8461,10531
24.96,8404,10555
24.98,8355,10507
25,8440,10515
25.02,8418,10532
25.04,8396,10549
25.06,8443,10550
25.08,8388,10559
25.1,8401,10520
25.12,8451,10564
25.14,8385,10545
25.16,8402,10577
25.18,8403,10522
25.2,8409,10467
25.22,8398,10574
25.24,8395,10503
25.26,8452,10575
25.28,8412,10523
25.3,8452,10537
25.32,8458,10555
25.34,8377,10559
25.36,8396,10488
25.38,8451,10476
25.4,8419,10587
25.42,8395,10514
25.44,8444,10531
25.46,8369,10506
25.48,8432,10523
25.5,8393,10529
25.52,8372,10486
25.54,8476,10604
25.56,8391,10509
25.58,8431,10547
25.6,8367,10524
25.62,8419,10496
25.64,8450,10510
25.66,8408,10506
25.68,8389,10502
25.7,8452,10554
25.72,8357,10521
25.74,8406,10505
25.76,8446,10556
25.78,8372,10539
25.8,8449,10557
25.82,8446,10585
25.84,8466,10539
25.86,8358,10556
25.88,8446,10606
25.9,8399,10581
25.92,8428,10528
25.94,8454,10571
25.96,8437,10551
25.98,8374,10592
26,8386,10553
26.02,8414,10558
26.04,8422,10487
26.06,8460,10562
26.08,8426,10561
26.1,8427,10549
26.12,8403,10515
26.14,8456,10495
26.16,8441,10607
26.18,8444,10515
26.2,8445,10500
26.22,8391,10518
