X,Y,Z,IR,RED,HeartRate,RespirationRate,SPO2,Activity,HR Mean,RR Mean,SPO2 Mean
-0.15,-0.17,1,8524,10601,73.17073171,,96.06880555,1,,,
-0.01,-0.19,1.11,8572,10587,230.7692308,,99.35009736,1,,,
-0.03,-0.22,0.86,8497,10589,130.4347826,,99.63361093,1,,,
-0.05,-0.28,0.81,8521,10546,111.1111111,,99.06394154,1,,,
-0.03,-0.24,0.93,8562,10545,103.4482759,,99.88989014,1,,,
0.01,-0.2,1.06,8533,10643,68.18181818,,98.71266971,1,,,
0.04,-0.16,1.04,8509,10548,66.66666667,,94.85160842,1,,,
0,-0.24,0.99,8523,10583,71.42857143,,95.86237482,1,,,
-0.03,-0.2,1.08,8530,10560,75,,95.70188359,1,,,
0.06,-0.2,1.2,8580,10569,214.2857143,,82.56165069,1,,,
0.04,-0.1,1.12,8493,10574,130.4347826,,94.69263381,1,,,
0.01,-0.4,-0.11,8516,10555,111.1111111,,98.41039031,1,,,
0.46,-0.03,0.8,8520,10624,103.4482759,,99.91124139,1,,,
0.08,-0.2,0.93,8533,10560,66.66666667,,82.57136179,1,,,
0.09,-0.19,1.05,8539,10608,68.18181818,,98.98615641,1,,,
0.21,-0.13,1.05,8559,10566,71.42857143,,98.72339383,1,,,
0.21,-0.11,0.9,8519,10596,78.94736842,,93.53286701,1,,,
0.2,-0.11,1.08,8557,10628,68.18181818,,98.3485186,1,,,
0.21,-0.19,0.99,8492,10592,75,,99.89970325,1,,,
0.2,-0.08,0.98,8511,10577,187.5,,82.56171855,1,,,
0.22,0.01,1.1,8586,10601,111.1111111,,98.98663444,1,,,
0.25,-0.21,1.08,8506,10624,73.17073171,,96.30546974,1,,,
-0.1,0.04,1.08,8577,10609,103.4482759,,99.52357313,1,,,
0.22,-0.2,0.99,8527,10602,107.1428571,,94.9052744,1,,,
0.44,-0.06,1.41,8511,10544,76.92307692,,95.85974054,1,,,
0.45,-0.05,0.64,8581,10564,125,,95.72669348,1,,,
-0.15,0.2,0.47,8524,10655,176.4705882,,99.20759836,1,,,
0.37,0.16,1.39,8522,10557,272.7272727,,87.52300683,1,,,
0.15,-0.08,1.16,8564,10607,130.4347826,,99.78285017,1,,,
0.1,0.14,1.27,8570,10620,111.1111111,,96.43951481,1,,,
0.2,0.14,1.36,8501,10427,103.4482759,,99.52332396,1,,,
0.14,0.09,1.29,8455,10443,68.18181818,,94.9052744,1,,,
0.11,0.08,1.09,8502,10490,66.66666667,,95.85974052,1,,,
0.09,0.14,0.96,8556,10484,69.76744186,,95.72669343,1,,,
-0.01,0.01,0.99,8460,10496,75,,99.20759851,1,,,
-0.06,0.09,0.88,8563,10611,250,,87.52300691,1,,,
0.08,0.03,0.94,8584,10565,125,,99.78285018,1,,,
0.06,0,0.94,8621,10550,111.1111111,,96.43951474,1,,,
0.03,-0.03,1.04,8569,10548,103.4482759,,99.52334086,1,,,
0.08,0.09,1.06,8592,10545,68.18181818,,94.90818953,1,,,
0.13,-0.03,1.1,8552,10556,66.66666667,,94.94327385,1,,,
0.13,0.01,1.06,8589,10531,69.76744186,,96.08754809,1,,,
0.04,-0.06,1,8636,10579,75,,95.67500715,1,,,
0.03,-0.1,0.91,8619,10626,250,,99.93050728,1,,,
0.06,-0.1,0.99,8558,10612,125,,97.3022361,1,,,
0.08,-0.11,0.88,8616,10607,111.1111111,,99.8184126,1,,,
-0.05,-0.11,0.89,8654,10570,103.4482759,,99.44032902,1,,,
-0.08,-0.05,0.95,8567,10608,66.66666667,,99.94943502,1,,,
0.04,-0.1,0.93,8593,10590,69.76744186,,95.09299298,1,,,
0.04,-0.13,0.93,8662,10652,69.76744186,,99.77161483,1,,,
0.01,-0.11,0.95,8588,10557,76.92307692,,99.44028767,1,,,
0.05,-0.13,0.96,8637,10614,73.17073171,,99.94944651,1,,,
0.13,-0.13,0.89,8578,10599,66.66666667,,87.32464375,1,,,
0.01,-0.17,0.95,8599,10577,107.1428571,,98.53804438,1,,,
-0.01,-0.15,0.99,8591,10651,166.6666667,,94.84599303,1,,,
0.01,-0.13,1.09,8591,10629,120,,95.0502691,1,,,
-0.08,-0.13,1.04,8640,10603,150,,96.10695857,1,,,
-0.05,-0.13,1.1,8579,10640,142.8571429,,96.82880719,1,,,
0,-0.11,1.06,8589,10604,150,,99.42202086,1,,,
-0.01,-0.11,1.01,8665,10609,130.4347826,,99.95433073,1,,,
-0.04,-0.11,1.01,8570,10610,142.8571429,,87.35827884,1,,,
-0.04,-0.11,1.01,8626,10612,107.1428571,,98.53759568,1,,,
-0.04,-0.15,1.05,8604,10626,120,,94.84599303,1,,,
-0.06,-0.14,0.96,8551,10564,130.4347826,,95.05026909,1,,,
-0.04,-0.11,1.15,8601,10612,111.1111111,,96.10695855,1,,,
-0.01,-0.19,1.1,8579,10587,103.4482759,,96.82880714,1,,,
-0.01,-0.19,1.06,8606,10596,66.66666667,,99.42202085,1,,,
-0.09,-0.2,1.02,8647,10645,68.18181818,,99.95433073,1,,,
-0.14,-0.22,0.99,8601,10613,69.76744186,,87.35827878,1,,,
-0.17,-0.22,1.06,8653,10580,75,,98.53759568,1,,,
-0.14,-0.25,1.09,8586,10581,230.7692308,,94.94259211,1,,,
0.01,-0.22,1.08,8633,10611,130.4347826,,95.29973851,1,,,
0.09,-0.28,1.08,8611,10640,111.1111111,,95.03046044,1,,,
0.13,-0.32,0.91,8574,10587,103.4482759,,95.54267596,1,,,
0.04,-0.29,0.94,8627,10597,66.66666667,,97.57124427,1,,,
0.05,-0.29,0.99,8609,10607,68.18181818,,99.71999655,1,,,
0,-0.28,0.95,8588,10632,71.42857143,,96.02183852,1,,,
-0.05,-0.21,1.01,8613,10542,75,,85.82743451,1,,,
0.11,-0.22,0.95,8640,10627,214.2857143,,99.06194621,1,,,
0.13,-0.19,1.01,8563,10569,130.4347826,,82.48085793,1,,,
0.06,-0.31,0.95,8566,10556,111.1111111,,98.74834156,1,,,
0.06,-0.28,0.86,8631,10579,103.4482759,,98.83393659,1,,,
