X,Y,Z,IR,RED,Heart Rate,Respiration Rate,SpO2
0.05,-0.19,1.02,262143,262143,,,80.139
0.04,-0.16,1.01,262143,262143,,,80.139
0.03,-0.17,1.06,262143,262143,,,80.139
0.04,-0.14,1.06,262143,262143,,,80.139
0.05,-0.17,1.04,262143,262143,,,80.139
0.05,-0.16,1.05,262143,262143,,,80.139
0.04,-0.17,1.05,262143,262143,,,80.139
0.05,-0.16,1.01,262143,262143,,,80.139
0.03,-0.17,1.06,262143,262143,,,80.139
0.04,-0.16,1.02,262143,262143,,,80.139
0.05,-0.15,1.02,262143,262143,,,80.139
0.04,-0.17,1.05,262143,262143,,,80.139
0.05,-0.17,1.06,262143,262143,,,80.139
0.03,-0.19,1.01,262143,262143,,,80.139
0.05,-0.16,1.01,262143,262143,,,80.139
0.04,-0.17,1.04,262143,262143,,,80.139
0.04,-0.19,1.05,262143,262143,,,80.139
0.05,-0.16,1.08,262143,262143,,,80.139
0.05,-0.16,1.05,262143,262143,,,80.139
0.03,-0.16,1.08,262143,262143,,,80.139
0.03,-0.19,1.05,262143,262143,,,80.139
0.04,-0.17,1.06,262143,262143,,,80.139
0.06,-0.16,1.01,262143,262143,,,80.139
0.03,-0.19,1.08,262143,262143,,,80.139
0.04,-0.17,1.06,262143,262143,,,80.139
0.05,-0.17,1.04,262143,262143,,,80.139
0.05,-0.16,1.01,262143,262143,,,80.139
0.05,-0.16,1.04,262143,262143,,,80.139
0.04,-0.17,1.08,262143,262143,,,80.139
0.04,-0.19,1.01,262143,262143,,,80.139
0.04,-0.16,1.09,262143,262143,,,80.139
0,-0.17,1.04,262143,262143,,,80.139
0.04,-0.17,1.06,262143,262143,,,80.139
0.05,-0.16,1.05,262143,262143,,,80.139
0.05,-0.16,1.1,262143,262143,,,80.139
0.04,-0.16,1.04,262143,262143,,,80.139
0.06,-0.17,1.05,262143,262143,,,80.139
0.01,-0.19,1.05,262143,262143,,,80.139
0.03,-0.16,1.04,262143,262143,,,80.139
0.04,-0.15,1.06,262143,262143,,,80.139
0.05,-0.16,1.05,262143,262143,,,80.139
0.06,-0.16,1.05,262143,262143,,,80.139
0,-0.17,1.02,262143,262143,,,80.139
0.03,-0.15,1.14,262143,262143,,,80.139
0.01,-0.15,1.09,262143,262143,,,80.139
0.04,-0.16,1.06,262143,262143,,,80.139
0.05,-0.19,1.1,262143,262143,,,80.139
0.03,-0.19,1.05,262143,262143,,,80.139
0.05,-0.15,1,262143,262143,,,80.139
0.08,-0.19,1.08,262143,262143,,,80.139
0.05,-0.16,1.06,262143,262143,,,80.139
0.06,-0.16,1.04,262143,262143,,,80.139
0.03,-0.17,1.04,262143,262143,,,80.139
0.01,-0.17,1.02,262143,262143,,,80.139
0.05,-0.16,1.05,262143,262143,,,80.139
0.08,-0.17,1.01,262143,262143,,,80.139
0.06,-0.17,1.06,262143,262143,,,80.139
0.06,-0.17,1.1,262143,262143,,,80.139
0.06,-0.19,1.08,262143,262143,,,80.139
0.04,-0.17,1.06,262143,262143,,,80.139
0.06,-0.17,1.02,262143,262143,,,80.139
0.04,-0.19,1.02,262143,262143,,,80.139
0.05,-0.17,1.1,262143,262143,,,80.139
0.04,-0.16,1.08,262143,262143,,,80.139
0.08,-0.16,1.08,262143,262143,,,80.139
0.03,-0.19,1.05,262143,262143,,,80.139
0.04,-0.16,1.1,262143,262143,,,80.139
0.05,-0.17,1.06,262143,262143,,,80.139
0.06,-0.17,1.01,262143,262143,,,80.139
0.04,-0.19,1.08,262143,262143,,,80.139
0.08,-0.16,1.05,262143,262143,,,80.139
0,-0.17,1.09,262143,262143,,,80.139
0.09,-0.15,1.09,262143,262143,,,80.139
0.05,-0.19,1.04,262143,262143,,,80.139
0.05,-0.19,1.01,262143,262143,,,80.139
0.06,-0.19,1.04,262143,262143,,,80.139
0.08,-0.17,1.01,262143,262143,,,80.139
0.05,-0.19,1,262143,262143,,,80.139
0.01,-0.16,1.04,262143,262143,,,80.139
0.04,-0.16,1.04,262143,262143,,,80.139
0.03,-0.19,1.09,262143,262143,,,80.139
0.08,-0.19,1.06,262143,262143,,,80.139
0.05,-0.16,1.05,262143,262143,,,80.139
0.06,-0.17,1.04,262143,262143,,,80.139
0.06,-0.16,1.11,262143,262143,,,80.139
0.08,-0.16,1.04,262143,262143,,,80.139
0.03,-0.19,1.1,262143,262143,,,80.139
0.01,-0.19,1.09,262143,262143,,,80.139
0.05,-0.15,1.05,262143,262143,,,80.139
0.05,-0.17,1.08,262143,262143,,,80.139
0.03,-0.19,1.04,262143,262143,,,80.139
0.01,-0.17,1.09,262143,262143,,,80.139
0.03,-0.16,1.02,262143,262143,,,80.139
0.03,-0.16,1.08,262143,262143,,,80.139
0.06,-0.16,1.02,262143,262143,,,80.139
0.04,-0.17,1.05,262143,262143,,,80.139
0.04,-0.19,1.06,262143,262143,,,80.139
0.01,-0.17,1.05,262143,262143,,,80.139
0.04,-0.16,1,262143,262143,,,80.139
0.05,-0.16,1.02,262143,262143,,,80.139
0.04,-0.16,1.08,262143,262143,,,80.139
